File accession	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Tissue_short	Age_short	Sex_short	Rep_short	Sample	Biological replicate(s)	Biosample type	Biosample organism	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR				Sample
ENCFF947UNC	mm10	ENCSR502ORP	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	G	18m	F	2	G_18m_F_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF762KLN/"	11896115	ENCODE Processing Pipeline	1db91d4f3b305a5c9d348190e50d4345		https://www.encodeproject.org/files/ENCFF947UNC/@@download/ENCFF947UNC.tsv	M21			released	s3://encode-public/2021/05/24/b4b32d87-f18d-4b93-92a3-1c93c3e67718/ENCFF947UNC.tsv	ENCODE4 v1.2.3 mm10 M21	released							G_18m_F_2
ENCFF223TDR	mm10	ENCSR510HZQ	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	G	25	F	1	G_25_F_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF364CTM/"	11886838	ENCODE Processing Pipeline	8c7c8048a7ec72452d04ba9ac04368d5		https://www.encodeproject.org/files/ENCFF223TDR/@@download/ENCFF223TDR.tsv	M21			released	s3://encode-public/2021/05/24/9dc517a8-882b-41d7-8240-511e647139f3/ENCFF223TDR.tsv	ENCODE4 v1.2.3 mm10 M21	released							G_25_F_1
ENCFF999QVR	mm10	ENCSR603KGM	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	G	14	M	1	G_14_M_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF855GSH/"	11890772	ENCODE Processing Pipeline	19e17fd275fcd72091bd6d05cd76eea7		https://www.encodeproject.org/files/ENCFF999QVR/@@download/ENCFF999QVR.tsv	M21			released	s3://encode-public/2021/05/24/d094a037-f881-449c-9c99-6c350904e5b3/ENCFF999QVR.tsv	ENCODE4 v1.2.3 mm10 M21	released							G_14_M_1
ENCFF236MZC	mm10	ENCSR603KGM	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	G	14	M	2	G_14_M_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF971REE/"	11888892	ENCODE Processing Pipeline	85456a89aef28f95418abfaf3d0ef5bc		https://www.encodeproject.org/files/ENCFF236MZC/@@download/ENCFF236MZC.tsv	M21			released	s3://encode-public/2021/05/24/1fbc1038-1c05-46b8-a470-0fcd3df1be93/ENCFF236MZC.tsv	ENCODE4 v1.2.3 mm10 M21	released							G_14_M_2
ENCFF573THR	mm10	ENCSR640PLU	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	G	36	M	1	G_36_M_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF352HVG/"	11886815	ENCODE Processing Pipeline	7b099b4040123018b0ed8260680542c9		https://www.encodeproject.org/files/ENCFF573THR/@@download/ENCFF573THR.tsv	M21			released	s3://encode-public/2021/05/24/67a0f732-5905-4176-8555-fd46637647e1/ENCFF573THR.tsv	ENCODE4 v1.2.3 mm10 M21	released							G_36_M_1
ENCFF880PSO	mm10	ENCSR640PLU	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	G	36	M	2	G_36_M_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF701FKT/"	11889057	ENCODE Processing Pipeline	83adbb4cca8f61c34f399a6111208784		https://www.encodeproject.org/files/ENCFF880PSO/@@download/ENCFF880PSO.tsv	M21			released	s3://encode-public/2021/05/24/dc41929d-9799-4397-ac5f-68e27970468b/ENCFF880PSO.tsv	ENCODE4 v1.2.3 mm10 M21	released							G_36_M_2
ENCFF329VMS	mm10	ENCSR791UVS	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	G	2m	F	1	G_2m_F_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF065VVT/, /files/ENCFF363TFV/"	11897830	ENCODE Processing Pipeline	0a30eb2fba2b82a313d0f587d3153238		https://www.encodeproject.org/files/ENCFF329VMS/@@download/ENCFF329VMS.tsv	M21			released	s3://encode-public/2021/05/24/a404faba-5d60-4722-ba9d-ddf2546a59a2/ENCFF329VMS.tsv	ENCODE4 v1.2.3 mm10 M21	released							G_2m_F_1
ENCFF731ZHP	mm10	ENCSR791UVS	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	G	2m	F	2	G_2m_F_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF272OXN/"	11902539	ENCODE Processing Pipeline	093a17313194f0525b1616344d79ecab		https://www.encodeproject.org/files/ENCFF731ZHP/@@download/ENCFF731ZHP.tsv	M21			released	s3://encode-public/2021/05/24/d5e67598-868f-4697-a509-7bc43ec4dc56/ENCFF731ZHP.tsv	ENCODE4 v1.2.3 mm10 M21	released							G_2m_F_2
ENCFF365VIK	mm10	ENCSR809JHL	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	G	2m	M	1	G_2m_M_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF422EUR/"	11895205	ENCODE Processing Pipeline	defc1e13b27889a931f34ed160113073		https://www.encodeproject.org/files/ENCFF365VIK/@@download/ENCFF365VIK.tsv	M21			released	s3://encode-public/2021/05/24/f8424332-c3f0-47cf-961c-1f2d0d291737/ENCFF365VIK.tsv	ENCODE4 v1.2.3 mm10 M21	released							G_2m_M_1
ENCFF139BQR	mm10	ENCSR809JHL	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	G	2m	M	2	G_2m_M_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF484HOW/"	11895615	ENCODE Processing Pipeline	dbf4bbe3ba90d6e3a2ca58155ab20dc6		https://www.encodeproject.org/files/ENCFF139BQR/@@download/ENCFF139BQR.tsv	M21			released	s3://encode-public/2021/05/24/bb0dbc64-55be-4236-9a4d-a660006e8764/ENCFF139BQR.tsv	ENCODE4 v1.2.3 mm10 M21	released							G_2m_M_2
ENCFF820UOQ	mm10	ENCSR886CRW	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	G	14	F	1	G_14_F_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF160WTK/, /files/ENCFF363TFV/"	11886069	ENCODE Processing Pipeline	cb5ff0c4c39663df4df6ab53ec8a4c3c		https://www.encodeproject.org/files/ENCFF820UOQ/@@download/ENCFF820UOQ.tsv	M21			released	s3://encode-public/2021/05/24/a3de439f-f7fa-4125-a4a7-0982ca807842/ENCFF820UOQ.tsv	ENCODE4 v1.2.3 mm10 M21	released							G_14_F_1
ENCFF874WOW	mm10	ENCSR886CRW	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	G	14	F	2	G_14_F_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF063VWP/, /files/ENCFF363TFV/"	11894317	ENCODE Processing Pipeline	bfcdc610c94f3296772a9640e30dc3f5		https://www.encodeproject.org/files/ENCFF874WOW/@@download/ENCFF874WOW.tsv	M21			released	s3://encode-public/2021/05/24/8a46019b-12a3-415a-be61-ef822dc4af4d/ENCFF874WOW.tsv	ENCODE4 v1.2.3 mm10 M21	released							G_14_F_2
ENCFF447JQI	mm10	ENCSR000CGZ	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	H	8w	NA	1	H_8w_NA_1	1	tissue	Mus musculus	polyadenylated mRNA					unstranded	8/4/11	ENCODE	see document	>200	1	1_1	"/files/ENCFF941MQK/, /files/ENCFF363TFV/"	13149387	ENCODE Processing Pipeline	5e6ed6d21f39c91cbec893818d8c43cc		https://www.encodeproject.org/files/ENCFF447JQI/@@download/ENCFF447JQI.tsv	M21			released	s3://encode-public/2021/03/15/2e121ae7-a857-4363-a44a-771d1be31bd8/ENCFF447JQI.tsv	ENCODE4 v1.2.1 mm10 M21	released	low read depth	"insufficient read length, missing spikeins"					H_8w_NA_1
ENCFF701BQZ	mm10	ENCSR000CGZ	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	H	8w	NA	2	H_8w_NA_2	2	tissue	Mus musculus	polyadenylated mRNA					unstranded	8/4/11	ENCODE	see document	>200	2	2_1	"/files/ENCFF655GQH/, /files/ENCFF363TFV/"	13153352	ENCODE Processing Pipeline	ba99bc68bb4c8459a0b7d07b5bcf4f9d		https://www.encodeproject.org/files/ENCFF701BQZ/@@download/ENCFF701BQZ.tsv	M21			released	s3://encode-public/2021/03/15/dbe13d31-4089-42e1-8d4b-cdfca7ede67a/ENCFF701BQZ.tsv	ENCODE4 v1.2.1 mm10 M21	released	low read depth	"insufficient read length, missing spikeins"					H_8w_NA_2
ENCFF780LZE	mm10	ENCSR000CHF	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	H	14.5	NA_BR	1	H_14.5_NA_BR_1	1	tissue	Mus musculus	polyadenylated mRNA					unstranded	5/4/12	ENCODE	see document	>200	1	1_1	"/files/ENCFF335KNR/, /files/ENCFF363TFV/"	13098842	ENCODE Processing Pipeline	0b140418163fc6a0acd7376e8fb9e858		https://www.encodeproject.org/files/ENCFF780LZE/@@download/ENCFF780LZE.tsv	M21			released	s3://encode-public/2021/03/15/9319721d-dcf3-42db-80a9-be20a4d63d30/ENCFF780LZE.tsv	ENCODE4 v1.2.1 mm10 M21	released	"low replicate concordance, low read depth"	"insufficient read length, missing spikeins"					H_14.5_NA_1
ENCFF557HLT	mm10	ENCSR000CHF	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	H	14.5	NA_BR	2	H_14.5_NA_BR_2	2	tissue	Mus musculus	polyadenylated mRNA					unstranded	5/4/12	ENCODE	see document	>200	2	2_1	"/files/ENCFF363TFV/, /files/ENCFF290HON/"	13098889	ENCODE Processing Pipeline	05e082326ea1363736d2fb525906944d		https://www.encodeproject.org/files/ENCFF557HLT/@@download/ENCFF557HLT.tsv	M21			released	s3://encode-public/2021/03/15/c4213c81-30dd-4b0a-a617-ab0ea9d554ff/ENCFF557HLT.tsv	ENCODE4 v1.2.1 mm10 M21	released	"low replicate concordance, low read depth"	"insufficient read length, missing spikeins"					H_14.5_NA_2
ENCFF999ALT	mm10	ENCSR020DGG	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	H	16.5	NA	1	H_16.5_NA_1	1	tissue	Mus musculus	polyadenylated mRNA		Ambion mirVana			unstranded	10/13/15	ENCODE	chemical (Nextera tagmentation)	>200	1	1_1	"/files/ENCFF906PXO/, /files/ENCFF363TFV/"	11891839	ENCODE Processing Pipeline	31cffa056314930ccb940ce1ad564306		https://www.encodeproject.org/files/ENCFF999ALT/@@download/ENCFF999ALT.tsv	M21			released	s3://encode-public/2021/03/15/ac410d4b-067e-4af1-a035-2653b28fda46/ENCFF999ALT.tsv	ENCODE4 v1.2.1 mm10 M21	released							H_16.5_NA_1
ENCFF110ZFH	mm10	ENCSR020DGG	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	H	16.5	NA	2	H_16.5_NA_2	2	tissue	Mus musculus	polyadenylated mRNA		Ambion mirVana			unstranded	10/13/15	ENCODE	chemical (Nextera tagmentation)	>200	2	2_1	"/files/ENCFF363TFV/, /files/ENCFF084LKZ/"	11890756	ENCODE Processing Pipeline	28113f62ec0562cc1eb62fe2790915fa		https://www.encodeproject.org/files/ENCFF110ZFH/@@download/ENCFF110ZFH.tsv	M21			released	s3://encode-public/2021/03/15/1fe55bd0-5557-46ff-86b1-d00a973f7c43/ENCFF110ZFH.tsv	ENCODE4 v1.2.1 mm10 M21	released							H_16.5_NA_2
ENCFF770SOB	mm10	ENCSR049UJU	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	H	10.5	NA	1	H_10.5_NA_1	1	tissue	Mus musculus	polyadenylated mRNA		Ambion mirVana			unstranded	8/11/16	ENCODE	chemical (Nextera tagmentation)	>200	1	1_1	"/files/ENCFF273SHI/, /files/ENCFF363TFV/"	11902216	ENCODE Processing Pipeline	d6062117eac2d7b0798a01d1c54995da		https://www.encodeproject.org/files/ENCFF770SOB/@@download/ENCFF770SOB.tsv	M21			released	s3://encode-public/2021/03/15/8bb9a4c3-6760-4f4f-ac03-f6d82b4654d8/ENCFF770SOB.tsv	ENCODE4 v1.2.1 mm10 M21	released							H_10.5_NA_1
ENCFF351QKG	mm10	ENCSR049UJU	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	H	10.5	NA	2	H_10.5_NA_2	2	tissue	Mus musculus	polyadenylated mRNA		Ambion mirVana			unstranded	8/11/16	ENCODE	chemical (Nextera tagmentation)	>200	2	2_1	"/files/ENCFF073VXY/, /files/ENCFF363TFV/"	11899603	ENCODE Processing Pipeline	c2d2b90e48cb7f9ccb0d5af28f816a34		https://www.encodeproject.org/files/ENCFF351QKG/@@download/ENCFF351QKG.tsv	M21			released	s3://encode-public/2021/03/15/92eba229-e179-4cd3-b01e-342aa1ec1cf4/ENCFF351QKG.tsv	ENCODE4 v1.2.1 mm10 M21	released							H_10.5_NA_2
ENCFF090VKE	mm10	ENCSR083OKX	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	H	4	F	1	H_4_F_1	1	tissue	Mus musculus	RNA					reverse	8/18/21	ENCODE			1	1_1	"/files/ENCFF799YPQ/, /files/ENCFF363TFV/"	11890760	ENCODE Processing Pipeline	c7448a15c9df7292be5d994e037b33b1		https://www.encodeproject.org/files/ENCFF090VKE/@@download/ENCFF090VKE.tsv	M21			released	s3://encode-public/2021/07/21/6ddcfdbb-366b-4f14-bd53-87d1fecf839d/ENCFF090VKE.tsv	ENCODE4 v1.2.3 mm10 M21	released							H_4_F_1
ENCFF833AOJ	mm10	ENCSR083OKX	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	H	4	F	2	H_4_F_2	2	tissue	Mus musculus	RNA					reverse	8/18/21	ENCODE			2	2_1	"/files/ENCFF174SWE/, /files/ENCFF363TFV/"	11885956	ENCODE Processing Pipeline	e4f737a1b86502fc46cdc2d4b61e2986		https://www.encodeproject.org/files/ENCFF833AOJ/@@download/ENCFF833AOJ.tsv	M21			released	s3://encode-public/2021/07/21/8d638867-81c3-4e03-931c-84053dd4eeb9/ENCFF833AOJ.tsv	ENCODE4 v1.2.3 mm10 M21	released							H_4_F_2
ENCFF539GUM	mm10	ENCSR095TCB	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	H	4	M	1	H_4_M_1	1	tissue	Mus musculus	RNA					reverse	8/18/21	ENCODE			1	1_1	"/files/ENCFF600MRJ/, /files/ENCFF363TFV/"	11884596	ENCODE Processing Pipeline	31c3751909bfadf9ef39fcb7b9c0c090		https://www.encodeproject.org/files/ENCFF539GUM/@@download/ENCFF539GUM.tsv	M21			released	s3://encode-public/2021/07/21/12b36565-9736-49eb-962c-e253a9a11cea/ENCFF539GUM.tsv	ENCODE4 v1.2.3 mm10 M21	released							H_4_M_1
ENCFF073NYG	mm10	ENCSR095TCB	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	H	4	M	2	H_4_M_2	2	tissue	Mus musculus	RNA					reverse	8/18/21	ENCODE			2	2_1	"/files/ENCFF030QOQ/, /files/ENCFF363TFV/"	11891762	ENCODE Processing Pipeline	f16eeb6d384bb572087b48b4b19e82f8		https://www.encodeproject.org/files/ENCFF073NYG/@@download/ENCFF073NYG.tsv	M21			released	s3://encode-public/2021/07/21/b5c9ff8c-4d71-44e0-8ad1-75dda43073bc/ENCFF073NYG.tsv	ENCODE4 v1.2.3 mm10 M21	released							H_4_M_2
ENCFF484QWQ	mm10	ENCSR150CUE	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	H	12.5	NA	1	H_12.5_NA_1	1	tissue	Mus musculus	polyadenylated mRNA		Ambion mirVana			unstranded	5/3/16	ENCODE	chemical (Nextera tagmentation)	>200	1	1_1	"/files/ENCFF363TFV/, /files/ENCFF348WSG/"	11891743	ENCODE Processing Pipeline	cd62226fc2e975b5f3aa547f33c546c8		https://www.encodeproject.org/files/ENCFF484QWQ/@@download/ENCFF484QWQ.tsv	M21			released	s3://encode-public/2021/03/15/6f5232d2-37b8-443c-a988-795b73e5a744/ENCFF484QWQ.tsv	ENCODE4 v1.2.1 mm10 M21	released							H_12.5_NA_1
ENCFF329HOZ	mm10	ENCSR150CUE	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	H	12.5	NA	2	H_12.5_NA_2	2	tissue	Mus musculus	polyadenylated mRNA		Ambion mirVana			unstranded	5/3/16	ENCODE	chemical (Nextera tagmentation)	>200	2	2_1	"/files/ENCFF999WDR/, /files/ENCFF363TFV/"	11887604	ENCODE Processing Pipeline	e58a9de1c8e9bda7258e1e4b48469ac6		https://www.encodeproject.org/files/ENCFF329HOZ/@@download/ENCFF329HOZ.tsv	M21			released	s3://encode-public/2021/03/15/02ad8941-2a58-4a71-85d8-228dd7bfb42f/ENCFF329HOZ.tsv	ENCODE4 v1.2.1 mm10 M21	released							H_12.5_NA_2
ENCFF952IQJ	mm10	ENCSR164BAZ	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0000948	heart	H	10w	NA	2	H_10w_NA_2	1	tissue	Mus musculus	polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	12/8/14	ENCODE	chemical (Illumina TruSeq)	350-450	1	1_2	"/files/ENCFF906BYA/, /files/ENCFF363TFV/"	11785999	ENCODE Processing Pipeline	67869b5cccee2f0b42c905011496bc12		https://www.encodeproject.org/files/ENCFF952IQJ/@@download/ENCFF952IQJ.tsv	M21			released	s3://encode-public/2021/04/17/d9ad7b55-9a9f-4fe9-b42e-b14626437bdc/ENCFF952IQJ.tsv	ENCODE4 v1.2.3 mm10 M21	released	"low replicate concordance, low read depth"						H_10w_NA_1
ENCFF427HSB	mm10	ENCSR164BAZ	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0000948	heart	H	10w	NA	1	H_10w_NA_1	1	tissue	Mus musculus	polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	12/8/14	ENCODE	chemical (Illumina TruSeq)	350-450	1	1_1	"/files/ENCFF376LGR/, /files/ENCFF363TFV/"	11780138	ENCODE Processing Pipeline	5957249638e192077b682855cd466a15		https://www.encodeproject.org/files/ENCFF427HSB/@@download/ENCFF427HSB.tsv	M21			released	s3://encode-public/2021/04/17/7bac6b31-daf9-499d-917f-a1891adfc30e/ENCFF427HSB.tsv	ENCODE4 v1.2.3 mm10 M21	released	"low replicate concordance, low read depth"						H_10w_NA_1
ENCFF276UUG	mm10	ENCSR201FJT	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	H	2m	M	1	H_2m_M_1	1	tissue	Mus musculus	RNA					reverse	8/18/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF635MZW/"	11890739	ENCODE Processing Pipeline	456b2b4a35e96949a5996aa1d1e9dc2c		https://www.encodeproject.org/files/ENCFF276UUG/@@download/ENCFF276UUG.tsv	M21			released	s3://encode-public/2021/07/21/3b8bebbe-6558-410e-986d-76b403f944c4/ENCFF276UUG.tsv	ENCODE4 v1.2.3 mm10 M21	released							H_2m_M_1
ENCFF792RJS	mm10	ENCSR201FJT	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	H	2m	M	2	H_2m_M_2	2	tissue	Mus musculus	RNA					reverse	8/18/21	ENCODE			2	2_1	"/files/ENCFF558QQM/, /files/ENCFF363TFV/"	11899881	ENCODE Processing Pipeline	c9eb90575649d9546a10a72e6688e7dd		https://www.encodeproject.org/files/ENCFF792RJS/@@download/ENCFF792RJS.tsv	M21			released	s3://encode-public/2021/07/21/ca5bd60b-d4bd-4cfa-bb4d-f768c52fa225/ENCFF792RJS.tsv	ENCODE4 v1.2.3 mm10 M21	released							H_2m_M_2
ENCFF148BEQ	mm10	ENCSR284YKY	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	H	13.5	NA	1	H_13.5_NA_1	1	tissue	Mus musculus	polyadenylated mRNA		Ambion mirVana			unstranded	10/13/15	ENCODE	chemical (Nextera tagmentation)	>200	1	1_1	"/files/ENCFF363TFV/, /files/ENCFF984GEF/"	11893064	ENCODE Processing Pipeline	12bd29422de2c44eecb119a7651c7106		https://www.encodeproject.org/files/ENCFF148BEQ/@@download/ENCFF148BEQ.tsv	M21			released	s3://encode-public/2021/03/15/cd9364d0-478f-403e-aa4b-526d79eba7ec/ENCFF148BEQ.tsv	ENCODE4 v1.2.1 mm10 M21	released							H_13.5_NA_1
ENCFF836QQS	mm10	ENCSR284YKY	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	H	13.5	NA	2	H_13.5_NA_2	2	tissue	Mus musculus	polyadenylated mRNA		Ambion mirVana			unstranded	10/13/15	ENCODE	chemical (Nextera tagmentation)	>200	2	2_1	"/files/ENCFF032HOY/, /files/ENCFF363TFV/"	11891694	ENCODE Processing Pipeline	5306f761f55fd93e58406ce679703d3f		https://www.encodeproject.org/files/ENCFF836QQS/@@download/ENCFF836QQS.tsv	M21			released	s3://encode-public/2021/03/15/dfe1cbb6-9e4b-4bd1-a8c9-6d7e035c489f/ENCFF836QQS.tsv	ENCODE4 v1.2.1 mm10 M21	released							H_13.5_NA_2
ENCFF623MIB	mm10	ENCSR363LZO	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	H	36	M	1	H_36_M_1	1	tissue	Mus musculus	RNA					reverse	8/18/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF764UMZ/"	11896476	ENCODE Processing Pipeline	c3f1da31c99528be94f1418ddc7126eb		https://www.encodeproject.org/files/ENCFF623MIB/@@download/ENCFF623MIB.tsv	M21			released	s3://encode-public/2021/07/21/bb3a7805-e0a8-4dd2-9814-f28d070e4853/ENCFF623MIB.tsv	ENCODE4 v1.2.3 mm10 M21	released							H_36_M_1
ENCFF519OAW	mm10	ENCSR363LZO	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	H	36	M	2	H_36_M_2	2	tissue	Mus musculus	RNA					reverse	8/18/21	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF378PNC/"	11896884	ENCODE Processing Pipeline	44d4c5df7d2c1a5efc3b56cd4538219f		https://www.encodeproject.org/files/ENCFF519OAW/@@download/ENCFF519OAW.tsv	M21			released	s3://encode-public/2021/07/21/cb150cfb-c381-4a91-8699-e702bc7623f2/ENCFF519OAW.tsv	ENCODE4 v1.2.3 mm10 M21	released							H_36_M_2
ENCFF775GSH	mm10	ENCSR465PBJ	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	H	18m	F	1	H_18m_F_1	1	tissue	Mus musculus	RNA					reverse	8/18/21	ENCODE			1	1_1	"/files/ENCFF343MBQ/, /files/ENCFF363TFV/"	11889019	ENCODE Processing Pipeline	ee401a4793bff8e5f4d3da8e40d03025		https://www.encodeproject.org/files/ENCFF775GSH/@@download/ENCFF775GSH.tsv	M21			released	s3://encode-public/2021/07/21/f17e8c5f-a3cc-44c0-8fbd-7ae7f720dc81/ENCFF775GSH.tsv	ENCODE4 v1.2.3 mm10 M21	released							H_18m_F_1
ENCFF658ONP	mm10	ENCSR465PBJ	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	H	18m	F	2	H_18m_F_2	2	tissue	Mus musculus	RNA					reverse	8/18/21	ENCODE			2	2_1	"/files/ENCFF683KCO/, /files/ENCFF363TFV/"	11888490	ENCODE Processing Pipeline	633291cc13b5c724a0e09e1aa041c8bd		https://www.encodeproject.org/files/ENCFF658ONP/@@download/ENCFF658ONP.tsv	M21			released	s3://encode-public/2021/07/21/4ea8d95c-d11a-46ad-95e0-60b2d5a17e1f/ENCFF658ONP.tsv	ENCODE4 v1.2.3 mm10 M21	released							H_18m_F_2
ENCFF198NLL	mm10	ENCSR484UKA	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	H	10	M	1	H_10_M_1	1	tissue	Mus musculus	RNA					reverse	8/18/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF701MWI/"	11893798	ENCODE Processing Pipeline	db667a41d225386a01a829576c263c17		https://www.encodeproject.org/files/ENCFF198NLL/@@download/ENCFF198NLL.tsv	M21			released	s3://encode-public/2021/07/21/3dae314e-ad56-46ae-be14-6e7408c04891/ENCFF198NLL.tsv	ENCODE4 v1.2.3 mm10 M21	released							H_10_M_1
ENCFF529XJO	mm10	ENCSR484UKA	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	H	10	M	2	H_10_M_2	2	tissue	Mus musculus	RNA					reverse	8/18/21	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF189PUM/"	11892384	ENCODE Processing Pipeline	fe224aafeaa29ba716621c4669afa5a3		https://www.encodeproject.org/files/ENCFF529XJO/@@download/ENCFF529XJO.tsv	M21			released	s3://encode-public/2021/07/21/8ade3033-322f-4013-9e25-b25b93fe19dc/ENCFF529XJO.tsv	ENCODE4 v1.2.3 mm10 M21	released							H_10_M_2
ENCFF110TMK	mm10	ENCSR496EJP	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	H	10	F	1	H_10_F_1	1	tissue	Mus musculus	RNA					reverse	8/18/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF751HTA/"	11896811	ENCODE Processing Pipeline	61dcdae49345c526b8257ee298ac0e70		https://www.encodeproject.org/files/ENCFF110TMK/@@download/ENCFF110TMK.tsv	M21			released	s3://encode-public/2021/07/21/136f122c-f9db-4b17-923a-74579621727b/ENCFF110TMK.tsv	ENCODE4 v1.2.3 mm10 M21	released							H_10_F_1
